Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Photosynthesis.photophosphorylation.linear electron flow	0.001524390243902439	1	0.0003567690990391019	30	True	darkgreen
Cellular respiration.tricarboxylic acid cycle.succinate dehydrogenase complex	0.004573170731707317	3	0.0004400152221482257	37	True	darkgreen
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-galacturonic acid biosynthesis	0.001524390243902439	1	0.00023784606602606794	20	True	darkgreen
Amino acid metabolism.shikimate group amino acid biosynthesis.shikimate pathway	0.006097560975609756	4	0.0005232613452573494	44	True	darkgreen
Lipid metabolism.fatty acid metabolism.endoplasmic reticulum-localized fatty acid elongase (FAE) system	0.018292682926829267	12	0.0006183997716677766	52	True	darkgreen
Lipid metabolism.fatty acid metabolism.fatty acid desaturation	0.004573170731707317	3	0.0007492151079821139	63	True	darkgreen
Lipid metabolism.glycerolipid metabolism.phosphatidate homeostasis	0.006097560975609756	4	0.0013676148796498905	115	True	darkgreen
Lipid metabolism.sphingolipid metabolism.sphingolipid transport	0.007621951219512195	5	0.00021406145942346114	18	True	darkgreen
Lipid metabolism.phytosterol metabolism.phytosterol C4-demethylation complex	0.001524390243902439	1	0.0004994767386547426	42	True	darkgreen
Coenzyme metabolism.coenzyme A metabolism.phosphopantothenoylcysteine synthetase	0.003048780487804878	2	4.756921320521359e-05	4	True	darkgreen
Coenzyme metabolism.chlorophyll metabolism.chlorophyll biosynthesis	0.006097560975609756	4	0.0005470459518599562	46	True	darkgreen
Phytohormone action.abscisic acid.perception and signalling	0.006097560975609756	4	0.0008562458376938446	72	True	darkgreen
Phytohormone action.abscisic acid.conjugation and degradation	0.001524390243902439	1	0.0003805537056417087	32	True	darkgreen
Phytohormone action.auxin.biosynthesis	0.001524390243902439	1	0.0004637998287508325	39	True	darkgreen
Phytohormone action.auxin.transport	0.004573170731707317	3	0.0008205689277899343	69	True	darkgreen
Phytohormone action.cytokinin.biosynthesis	0.003048780487804878	2	0.0003448767957377985	29	True	darkgreen
Phytohormone action.gibberellin.biosynthesis	0.007621951219512195	5	0.0004756921320521359	40	True	darkgreen
Phytohormone action.strigolactone.biosynthesis	0.001524390243902439	1	0.0002616306726286747	22	True	darkgreen
