Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Photosynthesis	0.001524390243902439	1	0.009204642755208828	774	False	darkgreen
Cellular respiration	0.004573170731707317	3	0.008526781467034535	717	False	darkgreen
Carbohydrate metabolism	0.001524390243902439	1	0.009275996575016649	780	False	darkgreen
Amino acid metabolism	0.006097560975609756	4	0.010489011511749595	882	False	darkgreen
Lipid metabolism	0.038109756097560975	25	0.017874131861859006	1503	True	darkgreen
Coenzyme metabolism	0.009146341463414634	6	0.01004899628960137	845	False	darkgreen
Phytohormone action	0.038109756097560975	25	0.016221101702977834	1364	True	darkgreen
Chromatin organisation	0.003048780487804878	2	0.01970554657025973	1657	False	darkgreen
Cell division	0.001524390243902439	1	0.020561792407953573	1729	False	darkgreen
DNA damage response	0.001524390243902439	1	0.004566644467700504	384	False	darkgreen
RNA biosynthesis	0.14329268292682926	94	0.06308866901341452	5305	True	darkgreen
RNA homeostasis	0.003048780487804878	2	0.013925887165826278	1171	False	darkgreen
Protein biosynthesis	0.003048780487804878	2	0.02398677575872895	2017	False	darkgreen
Protein modification	0.024390243902439025	16	0.04100466178289411	3448	False	darkgreen
Protein homeostasis	0.012195121951219513	8	0.047224336409475785	3971	False	darkgreen
Cytoskeleton organisation	0.01676829268292683	11	0.013473979640376749	1133	True	darkgreen
Cell wall organisation	0.0899390243902439	59	0.015995147940253068	1345	True	darkgreen
Vesicle trafficking	0.001524390243902439	1	0.0227618685186947	1914	False	darkgreen
Solute transport	0.056402439024390245	37	0.03773427837503568	3173	True	darkgreen
Nutrient uptake	0.010670731707317074	7	0.006505089905812958	547	True	darkgreen
External stimuli response	0.010670731707317074	7	0.011809057178194273	993	False	darkgreen
Multi-process regulation	0.021341463414634148	14	0.023974883455427646	2016	False	darkgreen
Plant reproduction	0.012195121951219513	8	0.003912567786128817	329	True	darkgreen
Plant organogenesis	0.03353658536585366	22	0.00812244315479022	683	True	darkgreen
not assigned	0.31097560975609756	204	0.3738345542764723	31435	False	darkgreen
Enzyme classification	0.1448170731707317	95	0.12265721624964324	10314	True	darkgreen
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Cell division	0.06060606060606061	2	0.020561792407953573	1729	True	plum1
RNA biosynthesis	0.030303030303030304	1	0.06308866901341452	5305	False	plum1
Multi-process regulation	0.030303030303030304	1	0.023974883455427646	2016	True	plum1
not assigned	0.8181818181818182	27	0.3738345542764723	31435	True	plum1
Enzyme classification	0.06060606060606061	2	0.12265721624964324	10314	False	plum1
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Cellular respiration	0.009259259259259259	5	0.008526781467034535	717	True	lightgreen
Carbohydrate metabolism	0.005555555555555556	3	0.009275996575016649	780	False	lightgreen
Amino acid metabolism	0.009259259259259259	5	0.010489011511749595	882	False	lightgreen
Nucleotide metabolism	0.005555555555555556	3	0.004209875368661403	354	True	lightgreen
Coenzyme metabolism	0.001851851851851852	1	0.01004899628960137	845	False	lightgreen
Secondary metabolism	0.001851851851851852	1	0.004162306155456189	350	False	lightgreen
Redox homeostasis	0.001851851851851852	1	0.007159166587384645	602	False	lightgreen
Phytohormone action	0.003703703703703704	2	0.016221101702977834	1364	False	lightgreen
Chromatin organisation	0.001851851851851852	1	0.01970554657025973	1657	False	lightgreen
Cell division	0.06296296296296296	34	0.020561792407953573	1729	True	lightgreen
DNA damage response	0.001851851851851852	1	0.004566644467700504	384	False	lightgreen
RNA biosynthesis	0.024074074074074074	13	0.06308866901341452	5305	False	lightgreen
RNA processing	0.007407407407407408	4	0.01936066977452193	1628	False	lightgreen
RNA homeostasis	0.024074074074074074	13	0.013925887165826278	1171	True	lightgreen
Protein biosynthesis	0.025925925925925925	14	0.02398677575872895	2017	True	lightgreen
Protein modification	0.027777777777777776	15	0.04100466178289411	3448	False	lightgreen
Protein homeostasis	0.022222222222222223	12	0.047224336409475785	3971	False	lightgreen
Cytoskeleton organisation	0.001851851851851852	1	0.013473979640376749	1133	False	lightgreen
Cell wall organisation	0.001851851851851852	1	0.015995147940253068	1345	False	lightgreen
Vesicle trafficking	0.003703703703703704	2	0.0227618685186947	1914	False	lightgreen
Protein translocation	0.003703703703703704	2	0.008288935401008467	697	False	lightgreen
Solute transport	0.018518518518518517	10	0.03773427837503568	3173	False	lightgreen
External stimuli response	0.001851851851851852	1	0.011809057178194273	993	False	lightgreen
Multi-process regulation	0.022222222222222223	12	0.023974883455427646	2016	False	lightgreen
Plant reproduction	0.001851851851851852	1	0.003912567786128817	329	False	lightgreen
not assigned	0.6148148148148148	332	0.3738345542764723	31435	True	lightgreen
Enzyme classification	0.09259259259259259	50	0.12265721624964324	10314	False	lightgreen
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Photosynthesis	0.0027598896044158236	33	0.009204642755208828	774	False	blue
Cellular respiration	0.0054361461905160155	65	0.008526781467034535	717	False	blue
Carbohydrate metabolism	0.00744333863009116	89	0.009275996575016649	780	False	blue
Amino acid metabolism	0.012461319729029021	149	0.010489011511749595	882	True	blue
Lipid metabolism	0.01480304424186669	177	0.017874131861859006	1503	False	blue
Nucleotide metabolism	0.006272476373672326	75	0.004209875368661403	354	True	blue
Coenzyme metabolism	0.00744333863009116	89	0.01004899628960137	845	False	blue
Secondary metabolism	0.0015890273479969893	19	0.004162306155456189	350	False	blue
Redox homeostasis	0.0038471188425190264	46	0.007159166587384645	602	False	blue
Phytohormone action	0.011206824454294556	134	0.016221101702977834	1364	False	blue
Chromatin organisation	0.026009868696161245	311	0.01970554657025973	1657	True	blue
Cell division	0.04700175629338463	562	0.020561792407953573	1729	True	blue
DNA damage response	0.007945136739984947	95	0.004566644467700504	384	True	blue
RNA biosynthesis	0.05720498452789161	684	0.06308866901341452	5305	False	blue
RNA processing	0.026428033787739398	316	0.01936066977452193	1628	True	blue
RNA homeostasis	0.017646566864598142	211	0.013925887165826278	1171	True	blue
Protein biosynthesis	0.0814585598394246	974	0.02398677575872895	2017	True	blue
Protein modification	0.043321903487496864	518	0.04100466178289411	3448	True	blue
Protein homeostasis	0.050932508154219285	609	0.047224336409475785	3971	True	blue
Cytoskeleton organisation	0.02483900643974241	297	0.013473979640376749	1133	True	blue
Cell wall organisation	0.015639374425023	187	0.015995147940253068	1345	False	blue
Vesicle trafficking	0.0191519611942795	229	0.0227618685186947	1914	False	blue
Protein translocation	0.014301246131972903	171	0.008288935401008467	697	True	blue
Solute transport	0.029856987538680272	357	0.03773427837503568	3173	False	blue
Nutrient uptake	0.004599816007359705	55	0.006505089905812958	547	False	blue
External stimuli response	0.012461319729029021	149	0.011809057178194273	993	True	blue
Multi-process regulation	0.02542443756795183	304	0.023974883455427646	2016	True	blue
Plant reproduction	0.0038471188425190264	46	0.003912567786128817	329	False	blue
Plant organogenesis	0.008865099941456888	106	0.00812244315479022	683	True	blue
Clade-specific metabolism	8.363301831563101e-05	1	0.0003329844924364951	28	False	blue
not assigned	0.2999916366981684	3587	0.3738345542764723	31435	False	blue
Enzyme classification	0.10972652003010788	1312	0.12265721624964324	10314	False	blue
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Photosynthesis	0.021897810218978103	9	0.009204642755208828	774	True	orange
Cellular respiration	0.019464720194647202	8	0.008526781467034535	717	True	orange
Carbohydrate metabolism	0.0170316301703163	7	0.009275996575016649	780	True	orange
Amino acid metabolism	0.0170316301703163	7	0.010489011511749595	882	True	orange
Lipid metabolism	0.004866180048661801	2	0.017874131861859006	1503	False	orange
Coenzyme metabolism	0.0024330900243309003	1	0.01004899628960137	845	False	orange
Secondary metabolism	0.0024330900243309003	1	0.004162306155456189	350	False	orange
Redox homeostasis	0.019464720194647202	8	0.007159166587384645	602	True	orange
Phytohormone action	0.004866180048661801	2	0.016221101702977834	1364	False	orange
Chromatin organisation	0.0024330900243309003	1	0.01970554657025973	1657	False	orange
Cell division	0.014598540145985401	6	0.020561792407953573	1729	False	orange
DNA damage response	0.0024330900243309003	1	0.004566644467700504	384	False	orange
RNA biosynthesis	0.014598540145985401	6	0.06308866901341452	5305	False	orange
RNA processing	0.0072992700729927005	3	0.01936066977452193	1628	False	orange
RNA homeostasis	0.0024330900243309003	1	0.013925887165826278	1171	False	orange
Protein biosynthesis	0.019464720194647202	8	0.02398677575872895	2017	False	orange
Protein modification	0.031630170316301706	13	0.04100466178289411	3448	False	orange
Protein homeostasis	0.0267639902676399	11	0.047224336409475785	3971	False	orange
Vesicle trafficking	0.004866180048661801	2	0.0227618685186947	1914	False	orange
Protein translocation	0.009732360097323601	4	0.008288935401008467	697	True	orange
Solute transport	0.0170316301703163	7	0.03773427837503568	3173	False	orange
Nutrient uptake	0.0024330900243309003	1	0.006505089905812958	547	False	orange
External stimuli response	0.0024330900243309003	1	0.011809057178194273	993	False	orange
Multi-process regulation	0.024330900243309004	10	0.023974883455427646	2016	True	orange
Plant organogenesis	0.004866180048661801	2	0.00812244315479022	683	False	orange
not assigned	0.5888077858880778	242	0.3738345542764723	31435	True	orange
Enzyme classification	0.11435523114355231	47	0.12265721624964324	10314	False	orange
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Photosynthesis	0.0013940520446096654	12	0.009204642755208828	774	False	grey
Cellular respiration	0.008015799256505576	69	0.008526781467034535	717	False	grey
Carbohydrate metabolism	0.008945167286245352	77	0.009275996575016649	780	False	grey
Amino acid metabolism	0.014056691449814127	121	0.010489011511749595	882	True	grey
Lipid metabolism	0.021723977695167287	187	0.017874131861859006	1503	True	grey
Nucleotide metabolism	0.003949814126394052	34	0.004209875368661403	354	False	grey
Coenzyme metabolism	0.009409851301115242	81	0.01004899628960137	845	False	grey
Secondary metabolism	0.007434944237918215	64	0.004162306155456189	350	True	grey
Redox homeostasis	0.007202602230483271	62	0.007159166587384645	602	True	grey
Phytohormone action	0.02079460966542751	179	0.016221101702977834	1364	True	grey
Chromatin organisation	0.01092007434944238	94	0.01970554657025973	1657	False	grey
Cell division	0.012430297397769517	107	0.020561792407953573	1729	False	grey
DNA damage response	0.0033689591078066915	29	0.004566644467700504	384	False	grey
RNA biosynthesis	0.0762081784386617	656	0.06308866901341452	5305	True	grey
RNA processing	0.01638011152416357	141	0.01936066977452193	1628	False	grey
RNA homeostasis	0.01638011152416357	141	0.013925887165826278	1171	True	grey
Protein biosynthesis	0.005924721189591078	51	0.02398677575872895	2017	False	grey
Protein modification	0.04007899628252788	345	0.04100466178289411	3448	False	grey
Protein homeostasis	0.05645910780669145	486	0.047224336409475785	3971	True	grey
Cytoskeleton organisation	0.006970260223048327	60	0.013473979640376749	1133	False	grey
Cell wall organisation	0.01370817843866171	118	0.015995147940253068	1345	False	grey
Vesicle trafficking	0.028694237918215612	247	0.0227618685186947	1914	True	grey
Protein translocation	0.004646840148698885	40	0.008288935401008467	697	False	grey
Solute transport	0.04530669144981413	390	0.03773427837503568	3173	True	grey
Nutrient uptake	0.008015799256505576	69	0.006505089905812958	547	True	grey
External stimuli response	0.015450743494423791	133	0.011809057178194273	993	True	grey
Multi-process regulation	0.02462825278810409	212	0.023974883455427646	2016	True	grey
Plant reproduction	0.004763011152416357	41	0.003912567786128817	329	True	grey
Plant organogenesis	0.00766728624535316	66	0.00812244315479022	683	False	grey
Clade-specific metabolism	0.00046468401486988845	4	0.0003329844924364951	28	True	grey
not assigned	0.35571561338289964	3062	0.3738345542764723	31435	False	grey
Enzyme classification	0.1428903345724907	1230	0.12265721624964324	10314	True	grey
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Photosynthesis	0.006211180124223602	2	0.009204642755208828	774	False	saddlebrown
Cellular respiration	0.012422360248447204	4	0.008526781467034535	717	True	saddlebrown
Carbohydrate metabolism	0.003105590062111801	1	0.009275996575016649	780	False	saddlebrown
Amino acid metabolism	0.006211180124223602	2	0.010489011511749595	882	False	saddlebrown
Lipid metabolism	0.031055900621118012	10	0.017874131861859006	1503	True	saddlebrown
Coenzyme metabolism	0.006211180124223602	2	0.01004899628960137	845	False	saddlebrown
Chromatin organisation	0.003105590062111801	1	0.01970554657025973	1657	False	saddlebrown
Cell division	0.003105590062111801	1	0.020561792407953573	1729	False	saddlebrown
DNA damage response	0.003105590062111801	1	0.004566644467700504	384	False	saddlebrown
RNA biosynthesis	0.018633540372670808	6	0.06308866901341452	5305	False	saddlebrown
RNA processing	0.027950310559006212	9	0.01936066977452193	1628	True	saddlebrown
RNA homeostasis	0.031055900621118012	10	0.013925887165826278	1171	True	saddlebrown
Protein biosynthesis	0.024844720496894408	8	0.02398677575872895	2017	True	saddlebrown
Protein modification	0.027950310559006212	9	0.04100466178289411	3448	False	saddlebrown
Protein homeostasis	0.018633540372670808	6	0.047224336409475785	3971	False	saddlebrown
Cytoskeleton organisation	0.006211180124223602	2	0.013473979640376749	1133	False	saddlebrown
Cell wall organisation	0.006211180124223602	2	0.015995147940253068	1345	False	saddlebrown
Vesicle trafficking	0.024844720496894408	8	0.0227618685186947	1914	True	saddlebrown
Protein translocation	0.012422360248447204	4	0.008288935401008467	697	True	saddlebrown
Solute transport	0.012422360248447204	4	0.03773427837503568	3173	False	saddlebrown
Nutrient uptake	0.006211180124223602	2	0.006505089905812958	547	False	saddlebrown
Multi-process regulation	0.037267080745341616	12	0.023974883455427646	2016	True	saddlebrown
Plant reproduction	0.009316770186335404	3	0.003912567786128817	329	True	saddlebrown
Plant organogenesis	0.003105590062111801	1	0.00812244315479022	683	False	saddlebrown
not assigned	0.5248447204968945	169	0.3738345542764723	31435	True	saddlebrown
Enzyme classification	0.13354037267080746	43	0.12265721624964324	10314	True	saddlebrown
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Photosynthesis	0.0008437394532568343	5	0.009204642755208828	774	False	yellow
Cellular respiration	0.0033749578130273373	20	0.008526781467034535	717	False	yellow
Carbohydrate metabolism	0.012993587580155248	77	0.009275996575016649	780	True	yellow
Amino acid metabolism	0.005568680391495107	33	0.010489011511749595	882	False	yellow
Lipid metabolism	0.01822477219034762	108	0.017874131861859006	1503	True	yellow
Nucleotide metabolism	0.0026999662504218697	16	0.004209875368661403	354	False	yellow
Coenzyme metabolism	0.00911238609517381	54	0.01004899628960137	845	False	yellow
Secondary metabolism	0.004218697266284171	25	0.004162306155456189	350	True	yellow
Redox homeostasis	0.008437394532568343	50	0.007159166587384645	602	True	yellow
Phytohormone action	0.023287208909888626	138	0.016221101702977834	1364	True	yellow
Chromatin organisation	0.0077624029699628755	46	0.01970554657025973	1657	False	yellow
Cell division	0.01400607492406345	83	0.020561792407953573	1729	False	yellow
DNA damage response	0.0016874789065136687	10	0.004566644467700504	384	False	yellow
RNA biosynthesis	0.061255484306446166	363	0.06308866901341452	5305	False	yellow
RNA processing	0.012993587580155248	77	0.01936066977452193	1628	False	yellow
RNA homeostasis	0.0048936888288896386	29	0.013925887165826278	1171	False	yellow
Protein biosynthesis	0.00320620992237597	19	0.02398677575872895	2017	False	yellow
Protein modification	0.06463044211947351	383	0.04100466178289411	3448	True	yellow
Protein homeostasis	0.04134323320958488	245	0.047224336409475785	3971	False	yellow
Cytoskeleton organisation	0.030712116098548767	182	0.013473979640376749	1133	True	yellow
Cell wall organisation	0.043030712116098546	255	0.015995147940253068	1345	True	yellow
Vesicle trafficking	0.024468444144448195	145	0.0227618685186947	1914	True	yellow
Protein translocation	0.0033749578130273373	20	0.008288935401008467	697	False	yellow
Solute transport	0.039993250084373946	237	0.03773427837503568	3173	True	yellow
Nutrient uptake	0.00860614242321971	51	0.006505089905812958	547	True	yellow
External stimuli response	0.011981100236247048	71	0.011809057178194273	993	True	yellow
Multi-process regulation	0.024299696253796826	144	0.023974883455427646	2016	True	yellow
Plant reproduction	0.0038812014849814377	23	0.003912567786128817	329	False	yellow
Plant organogenesis	0.011643604454944313	69	0.00812244315479022	683	True	yellow
Clade-specific metabolism	0.0005062436719541006	3	0.0003329844924364951	28	True	yellow
not assigned	0.3428957138035775	2032	0.3738345542764723	31435	False	yellow
Enzyme classification	0.15406682416469794	913	0.12265721624964324	10314	True	yellow
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Amino acid metabolism	0.002583979328165375	2	0.010489011511749595	882	False	lightyellow
Lipid metabolism	0.027131782945736434	21	0.017874131861859006	1503	True	lightyellow
Coenzyme metabolism	0.003875968992248062	3	0.01004899628960137	845	False	lightyellow
Secondary metabolism	0.003875968992248062	3	0.004162306155456189	350	False	lightyellow
Redox homeostasis	0.002583979328165375	2	0.007159166587384645	602	False	lightyellow
Phytohormone action	0.00904392764857881	7	0.016221101702977834	1364	False	lightyellow
Chromatin organisation	0.007751937984496124	6	0.01970554657025973	1657	False	lightyellow
Cell division	0.0103359173126615	8	0.020561792407953573	1729	False	lightyellow
RNA biosynthesis	0.07235142118863049	56	0.06308866901341452	5305	True	lightyellow
RNA processing	0.002583979328165375	2	0.01936066977452193	1628	False	lightyellow
RNA homeostasis	0.025839793281653745	20	0.013925887165826278	1171	True	lightyellow
Protein modification	0.04263565891472868	33	0.04100466178289411	3448	True	lightyellow
Protein homeostasis	0.05426356589147287	42	0.047224336409475785	3971	True	lightyellow
Cytoskeleton organisation	0.012919896640826873	10	0.013473979640376749	1133	False	lightyellow
Cell wall organisation	0.09431524547803617	73	0.015995147940253068	1345	True	lightyellow
Vesicle trafficking	0.003875968992248062	3	0.0227618685186947	1914	False	lightyellow
Protein translocation	0.002583979328165375	2	0.008288935401008467	697	False	lightyellow
Solute transport	0.05297157622739018	41	0.03773427837503568	3173	True	lightyellow
Nutrient uptake	0.00516795865633075	4	0.006505089905812958	547	False	lightyellow
External stimuli response	0.007751937984496124	6	0.011809057178194273	993	False	lightyellow
Multi-process regulation	0.014211886304909561	11	0.023974883455427646	2016	False	lightyellow
Plant reproduction	0.0012919896640826874	1	0.003912567786128817	329	False	lightyellow
not assigned	0.375968992248062	291	0.3738345542764723	31435	True	lightyellow
Enzyme classification	0.1640826873385013	127	0.12265721624964324	10314	True	lightyellow
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Cellular respiration	0.0055248618784530384	2	0.008526781467034535	717	False	skyblue
Carbohydrate metabolism	0.016574585635359115	6	0.009275996575016649	780	True	skyblue
Amino acid metabolism	0.0055248618784530384	2	0.010489011511749595	882	False	skyblue
Lipid metabolism	0.013812154696132596	5	0.017874131861859006	1503	False	skyblue
Nucleotide metabolism	0.0027624309392265192	1	0.004209875368661403	354	False	skyblue
Coenzyme metabolism	0.0055248618784530384	2	0.01004899628960137	845	False	skyblue
Secondary metabolism	0.013812154696132596	5	0.004162306155456189	350	True	skyblue
Phytohormone action	0.0055248618784530384	2	0.016221101702977834	1364	False	skyblue
Chromatin organisation	0.0027624309392265192	1	0.01970554657025973	1657	False	skyblue
Cell division	0.03867403314917127	14	0.020561792407953573	1729	True	skyblue
RNA biosynthesis	0.04419889502762431	16	0.06308866901341452	5305	False	skyblue
RNA processing	0.011049723756906077	4	0.01936066977452193	1628	False	skyblue
RNA homeostasis	0.019337016574585635	7	0.013925887165826278	1171	True	skyblue
Protein biosynthesis	0.008287292817679558	3	0.02398677575872895	2017	False	skyblue
Protein modification	0.0055248618784530384	2	0.04100466178289411	3448	False	skyblue
Protein homeostasis	0.03591160220994475	13	0.047224336409475785	3971	False	skyblue
Cytoskeleton organisation	0.011049723756906077	4	0.013473979640376749	1133	False	skyblue
Cell wall organisation	0.016574585635359115	6	0.015995147940253068	1345	True	skyblue
Vesicle trafficking	0.024861878453038673	9	0.0227618685186947	1914	True	skyblue
Solute transport	0.0055248618784530384	2	0.03773427837503568	3173	False	skyblue
External stimuli response	0.0027624309392265192	1	0.011809057178194273	993	False	skyblue
Multi-process regulation	0.019337016574585635	7	0.023974883455427646	2016	False	skyblue
not assigned	0.5497237569060773	199	0.3738345542764723	31435	True	skyblue
Enzyme classification	0.13535911602209943	49	0.12265721624964324	10314	True	skyblue
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Photosynthesis	0.0007183908045977011	3	0.009204642755208828	774	False	green
Cellular respiration	0.004310344827586207	18	0.008526781467034535	717	False	green
Carbohydrate metabolism	0.018199233716475097	76	0.009275996575016649	780	True	green
Amino acid metabolism	0.007183908045977011	30	0.010489011511749595	882	False	green
Lipid metabolism	0.01460727969348659	61	0.017874131861859006	1503	False	green
Nucleotide metabolism	0.006226053639846743	26	0.004209875368661403	354	True	green
Coenzyme metabolism	0.009099616858237548	38	0.01004899628960137	845	False	green
Secondary metabolism	0.006226053639846743	26	0.004162306155456189	350	True	green
Redox homeostasis	0.01053639846743295	44	0.007159166587384645	602	True	green
Phytohormone action	0.032327586206896554	135	0.016221101702977834	1364	True	green
Chromatin organisation	0.02586206896551724	108	0.01970554657025973	1657	True	green
Cell division	0.011015325670498084	46	0.020561792407953573	1729	False	green
DNA damage response	0.0019157088122605363	8	0.004566644467700504	384	False	green
RNA biosynthesis	0.09075670498084291	379	0.06308866901341452	5305	True	green
RNA processing	0.011973180076628353	50	0.01936066977452193	1628	False	green
RNA homeostasis	0.006226053639846743	26	0.013925887165826278	1171	False	green
Protein biosynthesis	0.003352490421455939	14	0.02398677575872895	2017	False	green
Protein modification	0.03017241379310345	126	0.04100466178289411	3448	False	green
Protein homeostasis	0.04118773946360153	172	0.047224336409475785	3971	False	green
Cytoskeleton organisation	0.01293103448275862	54	0.013473979640376749	1133	False	green
Cell wall organisation	0.04118773946360153	172	0.015995147940253068	1345	True	green
Vesicle trafficking	0.018438697318007662	77	0.0227618685186947	1914	False	green
Protein translocation	0.0009578544061302681	4	0.008288935401008467	697	False	green
Solute transport	0.04741379310344827	198	0.03773427837503568	3173	True	green
Nutrient uptake	0.011254789272030651	47	0.006505089905812958	547	True	green
External stimuli response	0.012691570881226053	53	0.011809057178194273	993	True	green
Multi-process regulation	0.02490421455938697	104	0.023974883455427646	2016	True	green
Plant reproduction	0.0059865900383141765	25	0.003912567786128817	329	True	green
Plant organogenesis	0.014367816091954023	60	0.00812244315479022	683	True	green
Clade-specific metabolism	0.00023946360153256704	1	0.0003329844924364951	28	False	green
not assigned	0.30124521072796934	1258	0.3738345542764723	31435	False	green
Enzyme classification	0.1764846743295019	737	0.12265721624964324	10314	True	green
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Cellular respiration	0.04285714285714286	3	0.008526781467034535	717	True	darkmagenta
Chromatin organisation	0.014285714285714285	1	0.01970554657025973	1657	False	darkmagenta
DNA damage response	0.014285714285714285	1	0.004566644467700504	384	True	darkmagenta
RNA biosynthesis	0.014285714285714285	1	0.06308866901341452	5305	False	darkmagenta
Protein biosynthesis	0.02857142857142857	2	0.02398677575872895	2017	True	darkmagenta
Protein modification	0.014285714285714285	1	0.04100466178289411	3448	False	darkmagenta
Cell wall organisation	0.014285714285714285	1	0.015995147940253068	1345	False	darkmagenta
Vesicle trafficking	0.014285714285714285	1	0.0227618685186947	1914	False	darkmagenta
External stimuli response	0.014285714285714285	1	0.011809057178194273	993	True	darkmagenta
not assigned	0.7857142857142857	55	0.3738345542764723	31435	True	darkmagenta
Enzyme classification	0.04285714285714286	3	0.12265721624964324	10314	False	darkmagenta
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Photosynthesis	0.0012048192771084338	1	0.009204642755208828	774	False	cyan
Cellular respiration	0.00963855421686747	8	0.008526781467034535	717	True	cyan
Carbohydrate metabolism	0.0024096385542168677	2	0.009275996575016649	780	False	cyan
Amino acid metabolism	0.018072289156626505	15	0.010489011511749595	882	True	cyan
Lipid metabolism	0.01566265060240964	13	0.017874131861859006	1503	False	cyan
Nucleotide metabolism	0.006024096385542169	5	0.004209875368661403	354	True	cyan
Coenzyme metabolism	0.0012048192771084338	1	0.01004899628960137	845	False	cyan
Secondary metabolism	0.0012048192771084338	1	0.004162306155456189	350	False	cyan
Redox homeostasis	0.008433734939759036	7	0.007159166587384645	602	True	cyan
Phytohormone action	0.0024096385542168677	2	0.016221101702977834	1364	False	cyan
Chromatin organisation	0.018072289156626505	15	0.01970554657025973	1657	False	cyan
Cell division	0.01325301204819277	11	0.020561792407953573	1729	False	cyan
DNA damage response	0.006024096385542169	5	0.004566644467700504	384	True	cyan
RNA biosynthesis	0.014457831325301205	12	0.06308866901341452	5305	False	cyan
RNA processing	0.007228915662650603	6	0.01936066977452193	1628	False	cyan
RNA homeostasis	0.012048192771084338	10	0.013925887165826278	1171	False	cyan
Protein biosynthesis	0.03493975903614458	29	0.02398677575872895	2017	True	cyan
Protein modification	0.014457831325301205	12	0.04100466178289411	3448	False	cyan
Protein homeostasis	0.024096385542168676	20	0.047224336409475785	3971	False	cyan
Cytoskeleton organisation	0.016867469879518072	14	0.013473979640376749	1133	True	cyan
Cell wall organisation	0.007228915662650603	6	0.015995147940253068	1345	False	cyan
Vesicle trafficking	0.027710843373493974	23	0.0227618685186947	1914	True	cyan
Protein translocation	0.004819277108433735	4	0.008288935401008467	697	False	cyan
Solute transport	0.03493975903614458	29	0.03773427837503568	3173	False	cyan
Nutrient uptake	0.006024096385542169	5	0.006505089905812958	547	False	cyan
External stimuli response	0.0036144578313253013	3	0.011809057178194273	993	False	cyan
Multi-process regulation	0.03614457831325301	30	0.023974883455427646	2016	True	cyan
Plant reproduction	0.0024096385542168677	2	0.003912567786128817	329	False	cyan
not assigned	0.5650602409638554	469	0.3738345542764723	31435	True	cyan
Enzyme classification	0.08433734939759036	70	0.12265721624964324	10314	False	cyan
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Amino acid metabolism	0.028368794326241134	4	0.010489011511749595	882	True	darkolivegreen
Lipid metabolism	0.07092198581560284	10	0.017874131861859006	1503	True	darkolivegreen
Phytohormone action	0.014184397163120567	2	0.016221101702977834	1364	False	darkolivegreen
Chromatin organisation	0.03546099290780142	5	0.01970554657025973	1657	True	darkolivegreen
RNA biosynthesis	0.028368794326241134	4	0.06308866901341452	5305	False	darkolivegreen
RNA processing	0.0070921985815602835	1	0.01936066977452193	1628	False	darkolivegreen
RNA homeostasis	0.014184397163120567	2	0.013925887165826278	1171	True	darkolivegreen
Protein modification	0.0425531914893617	6	0.04100466178289411	3448	True	darkolivegreen
Protein homeostasis	0.06382978723404255	9	0.047224336409475785	3971	True	darkolivegreen
Cytoskeleton organisation	0.0070921985815602835	1	0.013473979640376749	1133	False	darkolivegreen
Cell wall organisation	0.03546099290780142	5	0.015995147940253068	1345	True	darkolivegreen
Solute transport	0.07092198581560284	10	0.03773427837503568	3173	True	darkolivegreen
External stimuli response	0.0070921985815602835	1	0.011809057178194273	993	False	darkolivegreen
Multi-process regulation	0.02127659574468085	3	0.023974883455427646	2016	False	darkolivegreen
Plant organogenesis	0.014184397163120567	2	0.00812244315479022	683	True	darkolivegreen
not assigned	0.4397163120567376	62	0.3738345542764723	31435	True	darkolivegreen
Enzyme classification	0.09929078014184398	14	0.12265721624964324	10314	False	darkolivegreen
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Cellular respiration	0.03033980582524272	50	0.008526781467034535	717	True	salmon
Carbohydrate metabolism	0.009101941747572815	15	0.009275996575016649	780	False	salmon
Amino acid metabolism	0.003033980582524272	5	0.010489011511749595	882	False	salmon
Lipid metabolism	0.029733009708737865	49	0.017874131861859006	1503	True	salmon
Nucleotide metabolism	0.0054611650485436895	9	0.004209875368661403	354	True	salmon
