Function	TotalCounts	ModuleCounts	Pvalue	Relevancy	Module
Photosynthesis	774	5	0.062486847807368	False	darkred
Carbohydrate metabolism	771	1	0.7274531443905105	False	darkred
Lipid metabolism	1450	2	0.4440455190620042	False	darkred
Redox homeostasis	602	4	0.08446183662013465	False	darkred
Phytohormone action	1356	2	0.5925173797120118	False	darkred
Chromatin organisation	1655	8	0.14090940792488232	False	darkred
Cell division	1729	13	0.000935766204809452	True	darkred
RNA biosynthesis	5305	13	0.7787305098649306	False	darkred
RNA processing	1619	1	0.13783705148059475	False	darkred
Protein biosynthesis	2017	1	0.046163857315910856	True	darkred
Protein modification	3415	17	0.015375343540287427	True	darkred
Protein homeostasis	3834	14	0.25516598326550166	False	darkred
Cytoskeleton organisation	1133	5	0.24358137938613544	False	darkred
Cell wall organisation	1345	1	0.2778702374375962	False	darkred
Vesicle trafficking	1902	1	0.06728715689536377	False	darkred
Protein translocation	697	2	0.7173240927947868	False	darkred
Solute transport	3163	11	0.37656497022792823	False	darkred
Nutrient uptake	547	1	1.0	False	darkred
External stimuli response	958	4	0.33894564531733984	False	darkred
Multi-process regulation	2009	7	0.5067485516268523	False	darkred
Photosynthesis	774	1	0.04853498767112332	True	cyan
Cellular respiration	713	8	0.1686894329279728	False	cyan
Carbohydrate metabolism	771	2	0.1863878414059704	False	cyan
Amino acid metabolism	882	15	0.0015304759392362052	True	cyan
Lipid metabolism	1450	13	0.3343749253352857	False	cyan
Nucleotide metabolism	354	5	0.10407946324981279	False	cyan
Secondary metabolism	350	1	0.5262049604689225	False	cyan
Redox homeostasis	602	7	0.20666583770873936	False	cyan
Phytohormone action	1356	2	0.007197734001211863	True	cyan
Chromatin organisation	1655	15	0.2902227204634125	False	cyan
Cell division	1729	11	0.88281108526863	False	cyan
DNA damage response	384	5	0.20007644240699757	False	cyan
RNA biosynthesis	5305	12	8.61761060436953e-07	True	cyan
RNA processing	1619	6	0.12598007072498546	False	cyan
RNA homeostasis	1170	10	0.47465824096099196	False	cyan
Protein biosynthesis	2017	29	0.0002752850775741506	True	cyan
Protein modification	3415	12	0.009552559674200977	True	cyan
Protein homeostasis	3834	19	0.1262205675222354	False	cyan
Cytoskeleton organisation	1133	14	0.042996252310245425	True	cyan
Cell wall organisation	1345	6	0.31827844409552364	False	cyan
Vesicle trafficking	1902	23	0.010538177102161383	True	cyan
Protein translocation	697	4	1.0	False	cyan
Solute transport	3163	29	0.14720729026105744	False	cyan
Nutrient uptake	547	5	0.4396675523456417	False	cyan
External stimuli response	958	2	0.07365863474310884	False	cyan
Multi-process regulation	2009	30	9.344639836462545e-05	True	cyan
Plant reproduction	329	2	1.0	False	cyan
Amino acid metabolism	882	4	0.05077925397838517	False	darkolivegreen
Lipid metabolism	1450	10	8.733265602240277e-05	True	darkolivegreen
Phytohormone action	1356	2	1.0	False	darkolivegreen
Chromatin organisation	1655	5	0.18945505474279284	False	darkolivegreen
RNA biosynthesis	5305	4	0.13563053771519243	False	darkolivegreen
RNA processing	1619	1	0.5219805868566383	False	darkolivegreen
RNA homeostasis	1170	2	0.7080744471531937	False	darkolivegreen
Protein modification	3415	6	0.6571757551674047	False	darkolivegreen
Protein homeostasis	3834	9	0.19926695634026148	False	darkolivegreen
Cytoskeleton organisation	1133	1	1.0	False	darkolivegreen
Cell wall organisation	1345	5	0.06114951992442643	False	darkolivegreen
Solute transport	3163	10	0.03142654363160977	True	darkolivegreen
External stimuli response	958	1	1.0	False	darkolivegreen
Multi-process regulation	2009	3	1.0	False	darkolivegreen
Plant organogenesis	683	2	0.2932427235310742	False	darkolivegreen
Photosynthesis	774	2	1.0	False	saddlebrown
Cellular respiration	713	4	0.11832745493646724	False	saddlebrown
Carbohydrate metabolism	771	1	0.726471427671629	False	saddlebrown
Amino acid metabolism	882	2	1.0	False	saddlebrown
Lipid metabolism	1450	10	0.004865057603941912	True	saddlebrown
Chromatin organisation	1655	1	0.13523895591022772	False	saddlebrown
Cell division	1729	1	0.09374521261846425	False	saddlebrown
DNA damage response	384	1	1.0	False	saddlebrown
RNA biosynthesis	5305	6	0.020463036179477194	True	saddlebrown
RNA processing	1619	9	0.03975672764745459	True	saddlebrown
RNA homeostasis	1170	10	0.0010352690213722563	True	saddlebrown
Protein biosynthesis	2017	8	0.2563062280508496	False	saddlebrown
Protein modification	3415	9	1.0	False	saddlebrown
Protein homeostasis	3834	6	0.24295523587863477	False	saddlebrown
Cytoskeleton organisation	1133	2	0.7725149758244628	False	saddlebrown
Cell wall organisation	1345	2	0.5889079665489618	False	saddlebrown
Vesicle trafficking	1902	8	0.16447123440604394	False	saddlebrown
Protein translocation	697	4	0.11138669900551956	False	saddlebrown
Solute transport	3163	4	0.14612995454283223	False	saddlebrown
Nutrient uptake	547	2	0.6567404833679671	False	saddlebrown
Multi-process regulation	2009	12	0.006475809494451313	True	saddlebrown
Plant reproduction	329	3	0.055946075476252695	False	saddlebrown
Plant organogenesis	683	1	1.0	False	saddlebrown
Photosynthesis	774	2	0.593708675680588	False	grey60
Cellular respiration	713	3	1.0	False	grey60
Carbohydrate metabolism	771	3	1.0	False	grey60
Amino acid metabolism	882	3	0.8031273289748246	False	grey60
Lipid metabolism	1450	2	0.051612362904960865	False	grey60
Nucleotide metabolism	354	1	1.0	False	grey60
Redox homeostasis	602	6	0.06907922374061251	False	grey60
Phytohormone action	1356	5	0.6906384747752708	False	grey60
Chromatin organisation	1655	3	0.09652751569669776	False	grey60
Cell division	1729	9	0.7202537666715714	False	grey60
DNA damage response	384	6	0.010520066093799352	True	grey60
RNA biosynthesis	5305	26	0.8310722402681398	False	grey60
RNA processing	1619	15	0.014421739351596859	True	grey60
RNA homeostasis	1170	4	0.666502602287455	False	grey60
Protein biosynthesis	2017	6	0.3165797403242544	False	grey60
Protein modification	3415	14	0.6961335548305851	False	grey60
Protein homeostasis	3834	29	0.01297888538209337	True	grey60
Cytoskeleton organisation	1133	1	0.04776596916626344	True	grey60
Cell wall organisation	1345	7	0.6887652842432334	False	grey60
Vesicle trafficking	1902	6	0.39203916109524584	False	grey60
Protein translocation	697	1	0.2704494457381103	False	grey60
Solute transport	3163	13	0.6868232400454464	False	grey60
Nutrient uptake	547	5	0.19357278346503706	False	grey60
External stimuli response	958	8	0.14447813333406478	False	grey60
Multi-process regulation	2009	9	1.0	False	grey60
Plant reproduction	329	5	0.02105378540189906	True	grey60
Plant organogenesis	683	4	0.5710601461922633	False	grey60
Photosynthesis	774	5	2.200983912325432e-18	True	yellow
Cellular respiration	713	20	9.061951364765819e-07	True	yellow
Carbohydrate metabolism	771	77	0.00223452302703856	True	yellow
Amino acid metabolism	882	33	3.484079019511389e-05	True	yellow
Lipid metabolism	1450	106	0.7149391415363088	False	yellow
Nucleotide metabolism	354	16	0.06055782914959806	False	yellow
Secondary metabolism	350	25	0.9165971533700564	False	yellow
Redox homeostasis	602	50	0.22942719341292578	False	yellow
Phytohormone action	1356	138	1.553120762177477e-05	True	yellow
Chromatin organisation	1655	46	8.703923699430241e-15	True	yellow
Cell division	1729	83	9.938143329780325e-05	True	yellow
