"Zm00001eb009650"	"Zm00001eb032810"	"Zm00001eb058090"	"Zm00001eb071200"	"Zm00001eb072400"	"Zm00001eb083230"	"Zm00001eb106780"	"Zm00001eb115470"	"Zm00001eb116070"	"Zm00001eb133390"	"Zm00001eb136670"	"Zm00001eb148200"	"Zm00001eb164440"	"Zm00001eb197850"	"Zm00001eb209400"	"Zm00001eb209410"	"Zm00001eb226520"	"Zm00001eb264280"	"Zm00001eb264610"	"Zm00001eb269750"	"Zm00001eb269800"	"Zm00001eb328270"	"Zm00001eb365910"	"Zm00001eb379690"	"Zm00001eb392640"	"Zm00001eb393330"	"Zm00001eb415570"	"Zm00001eb426590"
"Zm00001eb009650"	1	0.285899958592736	0.0355736878747256	0.0426499439807778	0.132060593201086	0.0166661127185256	0.198864613133137	0.0577767554220104	0.166556741114004	-0.0261618475185757	0.0140165393207891	0.139661711338517	-0.000636341821492983	0.0128342511821608	0.123997598484088	0.168516398278985	0.0647283393836497	0.267259416664908	0.028247002554368	0.164295115562201	0.180295665583711	0.147266745093284	0.0373438420369712	-0.0153491307515136	-0.0412949190094122	-0.0274339356845511	0.140260497825736	0.186172418396765
"Zm00001eb032810"	0.285899958592736	1	-0.065072485100167	0.154486707040849	0.0774172385928305	0.120022324436991	-0.0363407235509431	-0.0723675651675288	0.291525038306876	-0.0667471639200518	-0.00257553245009583	0.0582865343785423	0.0127426034440235	0.0272095843524275	0.0452933305567789	0.130870696827953	0.0463272432155797	0.373325509103558	0.177285485394109	0.0191719636238211	0.000878206790256544	0.109552216552079	0.0327238989683923	-0.0505513643799832	0.0215990614121959	-0.00956731912658329	0.0827652673587021	0.0345566266589173
"Zm00001eb058090"	0.0355736878747256	-0.065072485100167	1	0.339555158714579	-0.0783991039681415	-0.109375947419361	0.092717899044193	0.399147148777574	0.0736562096901112	-0.0750598583805414	0.448070635706087	-0.134007163176896	0.00917396698500036	0.140193976647154	-0.00389508514451585	0.0477347261272807	0.0546766596192198	-0.0513227849470669	-0.0340393281639677	-0.129952472879931	0.0638918408037866	-0.0707619394584689	0.42965448109054	0.0993896335993488	-0.145578223490429	0.205738834490155	0.19896578784032	0.047459393812642
"Zm00001eb071200"	0.0426499439807778	0.154486707040849	0.339555158714579	0.999999999999999	-0.146500061225002	0.0077946601628495	0.36239459002972	0.382708077521789	0.0231678620391625	0.259406673157301	0.429575027316823	0.224685724737086	0.207877508834992	0.295592532157947	0.0348994820515965	0.221823397081603	0.117277355303184	0.0111414153942049	0.0665539625928803	0.0887028775263728	0.319151663948407	0.156252509215312	0.346064557769497	0.181249907236798	0.0563734538092784	0.303626673803476	0.292105651950141	0.405690088555175
"Zm00001eb072400"	0.132060593201086	0.0774172385928305	-0.0783991039681415	-0.146500061225002	1	0.0681528143195834	0.013081788433718	-0.110183593530436	0.0443176303461146	-0.0288160860806309	0.0545844935870275	-0.0989792725396137	-0.0646249667871232	0.109967526707796	0.215851595046023	0.209349934587326	0.335731095867741	-0.0198990985167265	0.245225698857359	-0.00406603590655749	0.0112315073593753	0.0583504035482793	-0.00838920737860093	-0.00855415172026855	-0.0290279496189452	-0.0115514518562653	0.183133004367299	-0.0413242490140564
"Zm00001eb083230"	0.0166661127185256	0.120022324436991	-0.109375947419361	0.0077946601628495	0.0681528143195834	0.999999999999999	-0.027730052099637	0.00320019560584211	-0.0358361504121921	-0.071942805453973	0.0672875199728936	0.0162757908349737	0.0117246139488496	0.153681691110193	0.0494035532767607	0.296929535235412	0.227677778655773	0.222994112509975	0.0874352191252741	-0.00791268110676737	-0.0186944251767263	0.283530580924917	0.169991830904632	-0.0848037935709582	0.0514368488139822	0.0459926363517531	0.175605496691265	0.119324377572621
"Zm00001eb106780"	0.198864613133137	-0.0363407235509431	0.092717899044193	0.36239459002972	0.013081788433718	-0.027730052099637	1	0.1552924487486	0.00963079516150753	0.244214927097099	0.183561968272656	0.354602340030202	0.146598293049718	0.251923731332654	0.0673295945348127	0.0869760258422993	0.043757643881799	0.0431626929056756	0.0402180504797106	0.412771533621248	0.488253217551338	0.34081606515673	0.0619388006414319	0.27598843036785	-0.159592346348943	0.189713358496159	0.195943185092142	0.455493680469042
"Zm00001eb115470"	0.0577767554220104	-0.0723675651675288	0.399147148777574	0.382708077521789	-0.110183593530436	0.00320019560584211	0.1552924487486	1	0.0278969162975755	0.19638142426463	0.679248979651215	-0.0964851642638427	0.180228534759057	0.288452674225373	0.157175814335443	0.0811154233672828	0.132726124230238	-0.0501016688562586	-0.0585677143107512	-0.0843580489063825	0.0752992478606809	0.120464006441866	0.203893536768103	0.150797591493336	-0.190778106748389	0.203715075109129	0.384599166825786	0.261494851088434
"Zm00001eb116070"	0.166556741114004	0.291525038306876	0.0736562096901112	0.0231678620391625	0.0443176303461146	-0.0358361504121921	0.00963079516150753	0.0278969162975755	1	0.00507873787551317	0.0612224869868069	0.105077005520804	-0.0432571492138901	-0.0657638747524795	0.0671365760109585	0.182671104170698	0.0639795805393139	0.143105071004539	0.0265746931189727	0.148612679551993	0.0474630206645933	-0.0139332713962443	0.167718252656461	-0.0357870792152663	-0.0435688280230898	-0.0934527665800859	0.113528324866293	0.0891175820805233
"Zm00001eb133390"	-0.0261618475185757	-0.0667471639200518	-0.0750598583805414	0.259406673157301	-0.0288160860806309	-0.071942805453973	0.244214927097099	0.19638142426463	0.00507873787551317	1	0.282109326801305	0.119983806426648	0.333091268038991	0.246336024823986	-0.0788003042921241	0.0484462644038351	0.10698724554625	-0.051617814005652	-0.0203704537875019	-0.0845597653994847	-0.00198531302064343	0.154472910672358	-0.0122196380255446	0.0598503399469444	-0.130139518106782	0.0695320020796511	0.163577059664756	0.0653308404741037
"Zm00001eb136670"	0.0140165393207891	-0.00257553245009583	0.448070635706087	0.429575027316823	0.0545844935870275	0.0672875199728936	0.183561968272656	0.679248979651215	0.0612224869868069	0.282109326801305	1	-0.077836944083151	0.344061320766204	0.563403026361683	0.0233643842803431	0.33823371892306	0.289141604372327	-0.011652105861488	0.109090319817476	-0.120024884165587	0.115229576487458	0.246558340408416	0.511876351488736	0.21870805540102	-0.148058905101675	0.414353599125107	0.349838129330237	0.211153202805519
"Zm00001eb148200"	0.139661711338517	0.0582865343785423	-0.134007163176896	0.224685724737086	-0.0989792725396137	0.0162757908349737	0.354602340030202	-0.0964851642638427	0.105077005520804	0.119983806426648	-0.077836944083151	1	-0.0653158629557395	-0.01396451771475	-0.0730260529362012	0.194125074774168	0.0696650830617575	0.0120768425050534	0.285954161642758	0.400548768105335	0.32339593920795	0.0502814785746058	-0.0417522761314235	0.249096839645864	0.154906472721041	-0.105690715127598	0.0433552318215924	0.313229089864083
"Zm00001eb164440"	-0.000636341821492983	0.0127426034440235	0.00917396698500036	0.207877508834992	-0.0646249667871232	0.0117246139488496	0.146598293049718	0.180228534759057	-0.0432571492138901	0.333091268038991	0.344061320766204	-0.0653158629557395	1	0.384156713422769	-0.0883524580859171	0.0308860930312349	0.0624739996159914	-0.0593900842449989	0.0040462381807516	-0.0482199733317145	0.0535059641915844	0.129171496115414	0.158275061198916	0.00593190461576651	-0.0761207705934286	0.207063463573268	0.108365482881891	0.06935768378726
"Zm00001eb197850"	0.0128342511821608	0.0272095843524275	0.140193976647154	0.295592532157947	0.109967526707796	0.153681691110193	0.251923731332654	0.288452674225373	-0.0657638747524795	0.246336024823986	0.563403026361683	-0.01396451771475	0.384156713422769	1	-0.00198010586201575	0.25943906238622	0.119940626883187	-0.0085150824381468	0.0518075534455987	-0.0178409573849057	0.0480958410885995	0.177161840471535	0.208711799474541	0.220468058359404	-0.0670709165440262	0.400679837809645	0.222206711159568	0.279187502461538
"Zm00001eb209400"	0.123997598484088	0.0452933305567789	-0.00389508514451585	0.0348994820515965	0.215851595046023	0.0494035532767607	0.0673295945348127	0.157175814335443	0.0671365760109585	-0.0788003042921241	0.0233643842803431	-0.0730260529362012	-0.0883524580859171	-0.00198010586201575	0.999999999999998	0.272770524608324	0.0863997805018229	0.300252144386319	0.0337337403899539	-0.0382498686275605	-0.00964668907907212	0.213865477692271	0.0260478527477588	-0.0691539074666272	0.0546806016247991	-0.0540064370998935	0.143763661654282	0.160274227026056
"Zm00001eb209410"	0.168516398278985	0.130870696827953	0.0477347261272807	0.221823397081603	0.209349934587326	0.296929535235412	0.0869760258422993	0.0811154233672828	0.182671104170698	0.0484462644038351	0.33823371892306	0.194125074774168	0.0308860930312349	0.25943906238622	0.272770524608324	1	0.494436041281078	0.377290282692075	0.409194172699279	0.0912620277263477	0.183978584078165	0.436710205988392	0.429231692275405	0.110301647158928	0.182203026944647	0.100817332072311	0.413491498827314	0.401381427262714
"Zm00001eb226520"	0.0647283393836497	0.0463272432155797	0.0546766596192198	0.117277355303184	0.335731095867741	0.227677778655773	0.043757643881799	0.132726124230238	0.0639795805393139	0.10698724554625	0.289141604372327	0.0696650830617575	0.0624739996159914	0.119940626883187	0.0863997805018229	0.494436041281078	0.999999999999999	0.0658548942448531	0.287188238293838	0.0163761194307919	0.218535225454585	0.208918221150906	0.277988718650327	0.158053757370038	0.0412837169613385	0.0772803305132579	0.234916410987144	0.20222629797123
"Zm00001eb264280"	0.267259416664908	0.373325509103558	-0.0513227849470669	0.0111414153942049	-0.0198990985167265	0.222994112509975	0.0431626929056756	-0.0501016688562586	0.143105071004539	-0.051617814005652	-0.011652105861488	0.0120768425050534	-0.0593900842449989	-0.0085150824381468	0.300252144386319	0.377290282692075	0.0658548942448531	0.999999999999999	0.0273497883473089	-0.0403238250754437	-0.00456000994223854	0.605532768578322	0.0632207056263255	-0.0439034402557086	-0.0163269316921545	-0.0329917918039962	0.332278941871101	0.0398430358603243
"Zm00001eb264610"	0.028247002554368	0.177285485394109	-0.0340393281639677	0.0665539625928803	0.245225698857359	0.0874352191252741	0.0402180504797106	-0.0585677143107512	0.0265746931189727	-0.0203704537875019	0.109090319817476	0.285954161642758	0.0040462381807516	0.0518075534455987	0.0337337403899539	0.409194172699279	0.287188238293838	0.0273497883473089	1	0.10518085651748	0.0820231328331855	0.136584925882156	0.142926842787743	0.126875649625151	0.199405286169985	-0.00467064003439521	0.154861133910165	0.134446904562853
"Zm00001eb269750"	0.164295115562201	0.0191719636238211	-0.129952472879931	0.0887028775263728	-0.00406603590655749	-0.00791268110676737	0.412771533621248	-0.0843580489063825	0.148612679551993	-0.0845597653994847	-0.120024884165587	0.400548768105335	-0.0482199733317145	-0.0178409573849057	-0.0382498686275605	0.0912620277263477	0.0163761194307919	-0.0403238250754437	0.10518085651748	1	0.40867927828733	0.0671843437363739	-0.0719645492287646	0.268898788514924	0.106144570072722	-0.105020751941223	0.0073537520563581	0.340169804298077
"Zm00001eb269800"	0.180295665583711	0.000878206790256544	0.0638918408037866	0.319151663948407	0.0112315073593753	-0.0186944251767263	0.488253217551338	0.0752992478606809	0.0474630206645933	-0.00198531302064343	0.115229576487458	0.32339593920795	0.0535059641915844	0.0480958410885995	-0.00964668907907212	0.183978584078165	0.218535225454585	-0.00456000994223854	0.0820231328331855	0.40867927828733	0.999999999999999	0.190659572313622	0.168102119461563	0.261881048388685	0.0320380975723233	0.140652903233489	0.146738721893504	0.482388238388187
"Zm00001eb328270"	0.147266745093284	0.109552216552079	-0.0707619394584689	0.156252509215312	0.0583504035482793	0.283530580924917	0.34081606515673	0.120464006441866	-0.0139332713962443	0.154472910672358	0.246558340408416	0.0502814785746058	0.129171496115414	0.177161840471535	0.213865477692271	0.436710205988392	0.208918221150906	0.605532768578322	0.136584925882156	0.0671843437363739	0.190659572313622	1	0.207125021545205	0.0951816467986025	-0.0838817592143823	0.126302138773898	0.444787589274241	0.187746991385193
"Zm00001eb365910"	0.0373438420369712	0.0327238989683923	0.42965448109054	0.346064557769497	-0.00838920737860093	0.169991830904632	0.0619388006414319	0.203893536768103	0.167718252656461	-0.0122196380255446	0.511876351488736	-0.0417522761314235	0.158275061198916	0.208711799474541	0.0260478527477588	0.429231692275405	0.277988718650327	0.0632207056263255	0.142926842787743	-0.0719645492287646	0.168102119461563	0.207125021545205	0.999999999999999	0.0923100247602371	-0.0837928485381242	0.398749506554695	0.1278760371931	0.203214069658719
"Zm00001eb379690"	-0.0153491307515136	-0.0505513643799832	0.0993896335993488	0.181249907236798	-0.00855415172026855	-0.0848037935709582	0.27598843036785	0.150797591493336	-0.0357870792152663	0.0598503399469444	0.21870805540102	0.249096839645864	0.00593190461576651	0.220468058359404	-0.0691539074666272	0.110301647158928	0.158053757370038	-0.0439034402557086	0.126875649625151	0.268898788514924	0.261881048388685	0.0951816467986025	0.0923100247602371	1	0.00623915631345284	-0.0438408403547432	0.207489655416362	0.254574593883542
"Zm00001eb392640"	-0.0412949190094122	0.0215990614121959	-0.145578223490429	0.0563734538092784	-0.0290279496189452	0.0514368488139822	-0.159592346348943	-0.190778106748389	-0.0435688280230898	-0.130139518106782	-0.148058905101675	0.154906472721041	-0.0761207705934286	-0.0670709165440262	0.0546806016247991	0.182203026944647	0.0412837169613385	-0.0163269316921545	0.199405286169985	0.106144570072722	0.0320380975723233	-0.0838817592143823	-0.0837928485381242	0.00623915631345284	0.999999999999999	-0.163708747059339	-0.0341613422086214	0.0172417066822185
"Zm00001eb393330"	-0.0274339356845511	-0.00956731912658329	0.205738834490155	0.303626673803476	-0.0115514518562653	0.0459926363517531	0.189713358496159	0.203715075109129	-0.0934527665800859	0.0695320020796511	0.414353599125107	-0.105690715127598	0.207063463573268	0.400679837809645	-0.0540064370998935	0.100817332072311	0.0772803305132579	-0.0329917918039962	-0.00467064003439521	-0.105020751941223	0.140652903233489	0.126302138773898	0.398749506554695	-0.0438408403547432	-0.163708747059339	1	0.0534318426693378	0.0631332242326544
"Zm00001eb415570"	0.140260497825736	0.0827652673587021	0.19896578784032	0.292105651950141	0.183133004367299	0.175605496691265	0.195943185092142	0.384599166825786	0.113528324866293	0.163577059664756	0.349838129330237	0.0433552318215924	0.108365482881891	0.222206711159568	0.143763661654282	0.413491498827314	0.234916410987144	0.332278941871101	0.154861133910165	0.0073537520563581	0.146738721893504	0.444787589274241	0.1278760371931	0.207489655416362	-0.0341613422086214	0.0534318426693378	1	0.20095789082637
"Zm00001eb426590"	0.186172418396765	0.0345566266589173	0.047459393812642	0.405690088555175	-0.0413242490140564	0.119324377572621	0.455493680469042	0.261494851088434	0.0891175820805233	0.0653308404741037	0.211153202805519	0.313229089864083	0.06935768378726	0.279187502461538	0.160274227026056	0.401381427262714	0.20222629797123	0.0398430358603243	0.134446904562853	0.340169804298077	0.482388238388187	0.187746991385193	0.203214069658719	0.254574593883542	0.0172417066822185	0.0631332242326544	0.20095789082637	1
