-	V2	V3	V4	V5	V6
PE75_INT_1	PE75	0	FElIn	1	first elongated internode
PE75_INT_2	PE75	0	FElIn	2	first elongated internode
PE75_INT_3	PE75	0	FElIn	3	first elongated internode
PE75_INT_4	PE75	0	FElIn	4	first elongated internode
PE75_L1BL_1	PE75	0	Le1	1	Leaf 1
PE75_L1BL_2	PE75	0	Le1	2	Leaf 1
PE75_L1BL_3	PE75	0	Le1	3	Leaf 1
PE75_L1BL_4	F7	0	Le1	3	Leaf 1
PE75_L3BL_1	PE75	0	Le3Bl	1	Leaf 3 blade
PE75_L3BL_2	PE75	0	Le3Bl	2	Leaf 3 blade
PE75_L3BL_3	PE75	0	Le3Bl	3	Leaf 3 blade
PE75_L3BL_4	F7	0	Le3Bl	3	Leaf 3 blade
PE75_L3SH_1	PE75	0	Le3Sh	1	Leaf 3 sheath
PE75_L3SH_2	PE75	0	Le3Sh	2	Leaf 3 sheath
PE75_L3SH_3	PE75	0	Le3Sh	3	Leaf 3 sheath
PE75_L3SH_4	F7	0	Le3Sh	3	Leaf 3 sheath
PE75_L5BL_1	PE75	0	Le5	1	Leaf 5
PE75_L5BL_2	PE75	0	Le5	2	Leaf 5
PE75_L5BL_3	PE75	0	Le5	3	Leaf 5
PE75_L5BL_4	PE75	0	Le5	4	Leaf 5
PE75_L8BL_1	PE75	0	Le8	1	Leaf 8
PE75_L8BL_2	PE75	0	Le8	2	Leaf 8
PE75_L8BL_3	PE75	0	Le8	3	Leaf 8
PE75_L8BL_4	PE75	0	Le8	4	Leaf 8
PE75_M_1	PE75	0	Msphy	1	mesophyll
PE75_M_2	PE75	0	Msphy	2	mesophyll
PE75_M_3	PE75	0	Msphy	3	mesophyll
PE75_M_4	PE75	0	Msphy	4	mesophyll
PE75_MAT_1	PE75	0	Le5M	1	Leaf 5 mature
PE75_MAT_2	PE75	0	Le5M	2	Leaf 5 mature
PE75_MAT_3	PE75	0	Le5M	3	Leaf 5 mature
PE75_MAT_4	PE75	0	Le5M	4	Leaf 5 mature
PE75_MER_1	PE75	0	Le5Mer	1	Leaf 5 meristem
PE75_MER_2	PE75	0	Le5Mer	2	Leaf 5 meristem
PE75_MER_3	PE75	0	Le5Mer	3	Leaf 5 meristem
PE75_MER_4	PE75	0	Le5Mer	4	Leaf 5 meristem
PE75_MZ_1	PE75	0	RoPrMers	1	primary root meristematic zone
PE75_MZ_2	PE75	0	RoPrMers	2	primary root meristematic zone
PE75_MZ_3	PE75	0	RoPrMers	3	primary root meristematic zone
PE75_MZ_4	PE75	0	RoPrMers	4	primary root meristematic zone
PE75_PR_1	PE75	0	RoPr	1	primary root
PE75_PR_2	PE75	0	RoPr	2	primary root
PE75_PR_3	PE75	0	RoPr	3	primary root
PE75_PR_4	PE75	0	RoPr	4	primary root
PE75_RZ_1	PE75	0	RoHaZ	1	root hair zone
PE75_RZ_2	PE75	0	RoHaZ	2	root hair zone
PE75_RZ_3	PE75	0	RoHaZ	3	root hair zone
PE75_RZ_4	PE75	0	RoHaZ	4	root hair zone
PE75_SR_1	PE75	0	RoSe	1	seminal root
PE75_SR_2	PE75	0	RoSe	2	seminal root
PE75_SR_3	PE75	0	RoSe	3	seminal root
PE75_SR_4	PE75	0	RoSe	4	seminal root
